id,pretest,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,V,A,D,final,failed
2.02E+12,267,7,6,10,8,10,8,9,7,10,6,6,8,10,5,10,85.75,0
2.02E+12,284,7,6,10,9,9,7,9,9,10,9,9,8,10,10,10,89.75,0
2.02E+12,328,10,6,9,10,7,8,9,7,10,9,9,2,10,10,10,91,0
2.02E+12,291,7,7,10,8,7,7,9,8,10,9,8,8,5,1,1,85.5,0
2.02E+12,341,10,10,7,8,9,8,9,7,10,7,7,9,10,10,10,95.25,0
2.02E+12,224,8,2,6,8,7,9,7,9,9,8,9,7,2,2,2,88.25,0
2.02E+12,282,9,10,10,7,9,8,8,7,7,6,9,9,1,1,1,84,1
2.02E+12,296,9,10,6,9,9,7,9,8,10,9,9,8,10,10,5,88.5,0
2.02E+12,316,10,10,7,9,8,8,9,7,7,6,6,1,1,1,1,83.75,1
2.02E+12,243,8,2,6,9,7,9,6,6,7,8,9,7,2,2,2,83.25,1
2.02E+12,265,10,6,10,9,7,9,8,7,10,9,9,9,5,1,1,85,0
2.02E+12,386,10,10,10,9,8,8,10,9,8,9,9,9,5,5,10,94.5,0
2.02E+12,391,10,10,10,9,8,8,8,7,10,7,9,10,5,5,10,91.25,0
2.02E+12,292,10,9,6,9,8,9,8,9,7,9,9,8,10,10,10,93,0
2.02E+12,321,10,10,6,9,9,9,8,7,9,6,9,8,1,1,1,82.25,1
2.02E+12,232,8,6,6,9,6,6,6,6,7,9,9,8,2,2,2,83.25,1
2.02E+12,246,10,9,10,9,9,8,9,8,9,9,9,9,5,5,1,88.75,0
2.02E+12,345,10,8,10,8,10,7,9,7,10,9,8,9,5,5,1,87.25,0
2.02E+12,321,10,9,9,8,9,8,9,9,9,9,9,8,5,5,10,89,0
2.02E+12,324,10,9,2,8,7,8,2,9,9,9,9,6,1,1,1,89.5,0
2.02E+12,379,10,6,10,9,10,8,9,7,10,9,8,9,10,10,10,92.75,0
2.02E+12,295,9,6,10,9,9,8,9,7,10,9,9,9,5,10,5,87.75,0
2.02E+12,243,7,6,10,8,7,8,9,7,7,6,7,7,1,1,1,83.5,1
2.02E+13,246,9,6,10,9,7,8,8,8,10,9,9,8,10,10,10,91.75,0
